Sample	percent	start	end	amp_del
TCGA-04-1331-01	0	0.622783397130969	0.173154468976622	amp
TCGA-04-1332-01	0	0.718152896178571	0.333175009075923	amp
TCGA-04-1335-01	0	0.4987456310948	0.0659882253683828	amp
TCGA-04-1336-01	0	0.869217500969247	0.333180705252345	amp
TCGA-04-1337-01	0	0.893922802748487	0.425191981620362	amp
TCGA-04-1338-01	0	0.962956964135631	0.128182392342013	amp
TCGA-04-1341-01	0	0.876072421389476	0.418879090575895	amp
TCGA-04-1342-01	0	0.496962387392505	0.44185732822805	amp
TCGA-04-1343-01	0	0.957633901072802	0.0243021615645996	amp
TCGA-04-1346-01	5.88942311784643e-07	0.333180125512257	0.333180705252345	amp
TCGA-04-1347-01	0	0.380098684093985	0.38008309552717	amp
TCGA-04-1348-01	0	0.932799731353964	0.010218940500695	amp
TCGA-04-1349-01	0	0.958910534758055	0.634110993926928	amp
TCGA-04-1350-01	1	9.20222364975132e-09	1	amp
TCGA-04-1351-01	1	9.20222364975132e-09	1	amp
TCGA-04-1353-01	0	0.962956964135631	0.0354727224144551	amp
TCGA-04-1356-01	0	0.938886293708457	0.199122831161273	amp
TCGA-04-1357-01	0	0.442182580821957	0.297743917521132	amp
TCGA-04-1360-01	0	0.863601724375237	0.0376655018768073	amp
TCGA-04-1361-01	0	0.10247911861323	0.102348925553431	amp
TCGA-04-1362-01	0	0.810552037070017	0.560983186552805	amp
TCGA-04-1364-01	0	0.438328993242596	0.0703736094508383	amp
TCGA-04-1365-01	0	0.943795026652722	0.150599552015509	amp
TCGA-04-1367-01	0	0.816847388676261	0.243787268257987	amp
TCGA-04-1371-01	0	0.0651270720796465	0.0129375718296819	amp
TCGA-04-1514-01	0	0.930402045978229	0.56602170765903	amp
TCGA-04-1516-01	0	0.93066081250647	0.099655499114944	amp
TCGA-04-1517-01	0	0.327237347901852	0.192782996006042	amp
TCGA-04-1519-01	0	0.958913911974124	0.00135897518221939	amp
TCGA-04-1525-01	0	0.539097455293458	0.182802770388315	amp
TCGA-04-1530-01	0	0.678128984016446	0.0307649936407574	amp
TCGA-04-1542-01	0	0.904888779762786	0.292388619068956	amp
TCGA-04-1638-01	0	0.842474642835705	0.0106415710249659	amp
TCGA-04-1644-01	0	0.94822739728899	0.548401059812733	amp
TCGA-04-1646-01	0	0.688966801662367	0.569857774204616	amp
TCGA-04-1649-01	0	0.588128641969794	0.401279681461717	amp
TCGA-04-1651-01	0	0.869227338146299	0.112179467801728	amp
TCGA-04-1652-01	0	0.185751475712291	0.145994842135256	amp
TCGA-04-1654-01	0	0.708017907563977	0.0431996823539641	amp
TCGA-04-1655-01	0	0.902706444824245	0.064004741280081	amp
TCGA-09-0364-01	0	0.904709474435519	0.0711434122656825	amp
TCGA-09-0365-01	0	0.490283211039002	0.00155473408532247	amp
TCGA-09-0366-01	2.43858925973329e-06	0.962956964135631	0.962959393522667	amp
TCGA-09-0367-01	0	0.926390529837074	0.251717615743981	amp
TCGA-09-0369-01	0	0.918646702221666	0.174086902689531	amp
TCGA-09-1659-01	0	0.918002252096996	0.181026630802656	amp
TCGA-09-1661-01	0	0.769971887298858	0.118100592579951	amp
TCGA-09-1662-01	0	0.593845551001406	0.030788348884309	amp
TCGA-09-1665-01	0	0.763665897922108	0.0442425335481096	amp
TCGA-09-1666-01	0	0.98690459163076	0.473298114767133	amp
TCGA-09-1667-01	0	0.75894915096926	0.0390467556424148	amp
TCGA-09-1668-01	0	0.425257722305915	0.425191981620362	amp
TCGA-09-1669-01	0	0.938033910138832	0.126216668545301	amp
TCGA-09-1670-01	0	0.254635760483309	0.0313065260964434	amp
TCGA-09-1672-01	0	0.0396618506737321	0.039589714442762	amp
TCGA-09-1674-01	0	0.4333620470317	0.266240739905895	amp
TCGA-09-1675-01	0	0.351226633863316	0.105874867960744	amp
TCGA-09-2043-01	0	0.318470656322005	0.151135691968153	amp
TCGA-09-2044-01	0	0.665047903509385	0.104518460198915	amp
TCGA-09-2049-01	0	0.752712785616431	0.245487066196481	amp
TCGA-09-2050-01	0	0.765442976134576	0.42971244514336	amp
TCGA-09-2051-01	0	0.657841899853544	0.0332931573452236	amp
TCGA-09-2053-01	0	0.8025325476438	0.123869779443957	amp
TCGA-09-2054-01	0	0.904261381358487	0.532838765346123	amp
TCGA-09-2055-01	0	0.372237307274035	0.372198271441432	amp
TCGA-10-0925-01	0	0.720083734345534	0.081688801649355	amp
TCGA-10-0926-01	0	0.392235340390758	0.131112941678782	amp
TCGA-10-0927-01	0	0.981732417428654	0.0166945728699105	amp
TCGA-10-0928-01	0	0.950125429528741	0.00104077149160697	amp
TCGA-10-0930-01	0	0.97457173472415	0.28962999487611	amp
TCGA-10-0931-01	0	0.453913207405872	0.143839589340833	amp
TCGA-10-0933-01	0	0.909792966808582	0.325019059875621	amp
TCGA-10-0934-01	0	0.55227219603254	0.504244760302182	amp
TCGA-10-0935-01	0	0.419211079197493	0.117909720057591	amp
TCGA-10-0936-01	0	0.423184985850707	0.148729899433407	amp
TCGA-10-0937-01	0	0.56890565693538	0.518487566328133	amp
TCGA-10-0938-01	0	0.92680077416835	0.378030189863867	amp
TCGA-13-0714-01	0	0.233286574074445	0.107320684527281	amp
TCGA-13-0717-01	0	0.957157667595935	0.0808585770342111	amp
TCGA-13-0720-01	0	0.69591518906792	0.129911922665028	amp
TCGA-13-0723-01	4.58270736357425e-06	0.663089918782739	0.663094492287879	amp
TCGA-13-0724-01	0.000575129774128569	0.12529175304909	0.125866873620995	amp
TCGA-13-0725-01	0	0.333180125512257	0.210371298036309	amp
TCGA-13-0726-01	0	0.648573420221833	0.0494890709193013	amp
TCGA-13-0727-01	0	0.333180125512257	0.00872600854921546	amp
TCGA-13-0730-01	0	0.999999981595553	0.0337600781717854	amp
TCGA-13-0751-01	0	0.717484695114734	0.169064393452408	amp
TCGA-13-0755-01	0	0.59082841794258	0.589913680105695	amp
TCGA-13-0757-01	0	0.916777822626348	0.0445105851199842	amp
TCGA-13-0758-01	0	0.864000125444712	0.268348122733038	amp
TCGA-13-0760-01	0	0.870409566219417	0.0466442126888965	amp
TCGA-13-0761-01	0	0.325505369787353	0.325492919178793	amp
TCGA-13-0762-01	0	0.92549467496306	0.741892323364261	amp
TCGA-13-0764-01	0	0.465873125795768	0.0647009355081758	amp
TCGA-13-0766-01	0	0.51272967059251	0.0643294877516886	amp
TCGA-13-0768-01	3.06434046600447e-06	0.206101981600393	0.206105036738636	amp
TCGA-13-0791-01	0	0.389440919548023	0.352112872413645	amp
TCGA-13-0791-02	3.74530501400546e-06	0.857116567704574	0.857120303807364	amp
TCGA-13-0792-01	0	0.928225223171637	0.0962134625826131	amp
TCGA-13-0793-01	0	0.88614589313916	0.0313065260964434	amp
TCGA-13-0794-01	0	0.569770518720235	0.476361314157408	amp
TCGA-13-0795-01	0	0.511814214982183	0.327246402889896	amp
TCGA-13-0797-01	0	0.847221913564305	0.0832258582631004	amp
TCGA-13-0799-01	0	0.622577239715174	0.0354835350272106	amp
TCGA-13-0800-01	0	0.560457095428357	0.0711434122656825	amp
TCGA-13-0801-01	0	0.850392797375401	0.0792033454647167	amp
TCGA-13-0802-01	0	0.976813092725001	0.119144980545441	amp
TCGA-13-0803-01	0	0.550802251235668	0.13607346473759	amp
TCGA-13-0804-01	0	0.882081602245534	0.359454065936711	amp
TCGA-13-0805-01	0	0.852405645759279	0.685029648690298	amp
TCGA-13-0807-01	0	0.461901133205067	0.0314804205162214	amp
TCGA-13-0883-01	0	0.188899584019923	0.172951743990237	amp
TCGA-13-0884-01	0	0.13586823674638	0.0376655018768073	amp
TCGA-13-0885-01	0	0.665022109676573	0.0308356023026062	amp
TCGA-13-0886-01	4.69313404703387e-07	0.065988510637315	0.0659889707484961	amp
TCGA-13-0887-01	0	0.84227212029824	0.0307839318169707	amp
TCGA-13-0888-01	0	0.787138718285031	0.114961207980312	amp
TCGA-13-0889-01	0	0.185433833357319	0.185372767401366	amp
TCGA-13-0890-01	0	0.498782025889223	0.405357260366252	amp
TCGA-13-0891-01	0	0.786942306024051	0.00327254077544392	amp
TCGA-13-0893-01	0	0.943485804332365	0.181052949162214	amp
TCGA-13-0897-01	0	0.705425401911948	0.0334267092166445	amp
TCGA-13-0899-01	0.852611002581619	9.20222364975132e-09	0.852611002581619	amp
TCGA-13-0900-01	0	0.95213881164159	0.204997208643498	amp
TCGA-13-0901-01	0	0.907590037293576	0.182488974562818	amp
TCGA-13-0903-01	0	0.935688410573256	0.0648493397685219	amp
TCGA-13-0904-01	0	0.751795029450198	0.1378934897277	amp
TCGA-13-0905-01	0	0.333117964491693	0.179253997264197	amp
TCGA-13-0906-01	0	0.900520502614043	0.614136371267098	amp
TCGA-13-0908-01	0	0.43132437104849	0.37692025445952	amp
TCGA-13-0910-01	0	0.958913911974124	0.238414927287664	amp
TCGA-13-0911-01	0	0.968199204068391	0.183554021520339	amp
TCGA-13-0912-01	0	0.90904047337637	0.830935036009727	amp
TCGA-13-0913-01	0	0.756019788719338	0.302281598404526	amp
TCGA-13-0913-02	0	0.755963783986377	0.471388174850015	amp
TCGA-13-0916-01	0	0.20221014957966	0.202205161974457	amp
TCGA-13-0919-01	0	0.894653947021897	0.151239769117314	amp
TCGA-13-0920-01	0	0.210685277906279	0.179699200843012	amp
TCGA-13-0921-01	0	0.931631840345248	0.0307839318169707	amp
TCGA-13-0923-01	0	0.982355343552274	0.14750643619624	amp
TCGA-13-0924-01	0	0.530571042974596	0.246082440862577	amp
TCGA-13-1403-01	0.000410041882356436	0.570206363637627	0.57061639631776	amp
TCGA-13-1404-01	0	0.0377416778839472	0.0376655018768073	amp
