Sample	Percent	Start	End	amp_del
P-0000199-T01-IM3	0	0	0	amp
P-0000666-T01-IM3	0	0	0	amp
P-0001080-T01-IM3	0	0	0	amp
P-0001907-T01-IM3	0	0	0	amp
P-0001965-T01-IM3	0	0	0	amp
P-0002110-T02-IM6	0	0	0	amp
P-0002536-T01-IM3	0	0	0	amp
P-0003050-T01-IM5	0	0	0	amp
P-0003102-T01-IM5	0	0	0	amp
P-0003744-T01-IM5	0	0	0	amp
P-0003810-T01-IM5	0	0	0	amp
P-0004360-T01-IM5	0	0	0	amp
P-0004794-T01-IM5	0	0	0	amp
P-0004821-T01-IM5	0	0	0	amp
P-0005224-T01-IM5	0	0	0	amp
P-0005531-T01-IM5	0	0	0	amp
P-0005592-T01-IM5	0	0	0	amp
P-0006340-T01-IM5	0	0	0	amp
P-0006656-T01-IM5	0	0	0	amp
P-0006797-T01-IM5	0	0	0	amp
P-0009394-T02-IM6	0	0	0	amp
P-0009524-T01-IM5	0	0	0	amp
P-0009601-T01-IM5	0	0	0	amp
P-0012808-T01-IM5	0	0	0	amp
P-0014561-T01-IM6	0	0	0	amp
P-0014697-T01-IM6	0	0	0	amp
P-0014861-T01-IM6	0	0	0	amp
P-0015457-T01-IM6	0	0	0	amp
P-0015810-T01-IM6	0	0	0	amp
P-0016322-T01-IM6	0	0	0	amp
P-0016488-T01-IM6	0	0	0	amp
P-0016553-T01-IM6	0	0	0	amp
P-0017516-T01-IM6	0	0	0	amp
P-0018184-T01-IM6	0	0	0	amp
P-0018202-T01-IM6	0	0	0	amp
P-0018755-T01-IM6	0	0	0	amp
P-0018944-T01-IM6	0	0	0	amp
P-0019338-T01-IM6	0	0	0	amp
P-0019841-T01-IM6	0	0	0	amp
P-0019934-T01-IM6	0	0	0	amp
P-0019940-T01-IM6	0	0	0	amp
P-0019953-T01-IM6	0	0	0	amp
P-0019991-T01-IM6	0	0	0	amp
P-0020006-T01-IM6	0	0	0	amp
P-0020112-T01-IM6	0	0	0	amp
P-0020323-T01-IM6	0	0	0	amp
P-0020549-T01-IM6	0	0	0	amp
P-0020568-T01-IM6	0	0	0	amp
P-0020682-T01-IM6	0	0	0	amp
P-0020687-T01-IM6	0	0	0	amp
P-0020699-T01-IM6	0	0	0	amp
P-0021030-T01-IM6	0	0	0	amp
P-0021114-T01-IM6	0	0	0	amp
P-0021272-T01-IM6	0	0	0	amp
P-0021359-T01-IM6	0	0	0	amp
P-0021409-T01-IM6	0	0	0	amp
P-0021499-T01-IM6	0	0	0	amp
P-0021524-T01-IM6	0	0	0	amp
P-0021742-T01-IM6	0	0	0	amp
P-0021785-T01-IM6	0	0	0	amp
P-0022003-T01-IM6	0	0	0	amp
P-0022126-T01-IM6	0	0	0	amp
P-0022358-T01-IM6	0	0	0	amp
P-0022522-T01-IM6	0	0	0	amp
P-0023069-T01-IM6	0	0	0	amp
P-0023091-T01-IM6	0	0	0	amp
P-0023547-T01-IM6	0	0	0	amp
P-0023620-T01-IM6	0	0	0	amp
P-0023661-T01-IM6	0	0	0	amp
P-0023747-T01-IM6	0	0	0	amp
P-0023920-T01-IM6	0	0	0	amp
P-0024019-T01-IM6	0	0	0	amp
P-0024048-T01-IM6	0	0	0	amp
P-0024053-T01-IM6	0	0	0	amp
P-0024406-T01-IM6	0	0	0	amp
P-0024448-T01-IM6	0	0	0	amp
P-0024726-T01-IM6	0	0	0	amp
P-0024935-T01-IM6	0	0	0	amp
P-0024971-T01-IM6	0	0	0	amp
P-0025000-T01-IM6	0	0	0	amp
P-0025026-T01-IM6	0	0	0	amp
P-0025063-T01-IM6	0	0	0	amp
P-0025811-T01-IM6	0	0	0	amp
P-0026190-T01-IM6	0	0	0	amp
P-0026493-T01-IM6	0	0	0	amp
P-0026504-T01-IM6	0	0	0	amp
P-0026506-T01-IM6	0	0	0	amp
P-0026510-T01-IM6	0	0	0	amp
P-0026707-T01-IM6	0	0	0	amp
P-0026758-T01-IM6	0	0	0	amp
P-0027035-T01-IM6	0	0	0	amp
P-0027103-T01-IM6	0	0	0	amp
P-0027163-T01-IM6	0	0	0	amp
P-0027239-T01-IM6	0	0	0	amp
P-0027262-T01-IM6	0	0	0	amp
P-0027886-T01-IM6	0	0	0	amp
P-0027958-T01-IM6	0	0	0	amp
P-0028250-T01-IM6	0	0	0	amp
P-0028308-T01-IM6	0	0	0	amp
P-0028326-T01-IM6	0	0	0	amp
P-0028513-T01-IM6	0	0	0	amp
P-0028549-T01-IM6	0	0	0	amp
P-0028702-T01-IM6	0	0	0	amp
P-0029129-T01-IM6	0	0	0	amp
P-0029331-T01-IM6	0	0	0	amp
P-0029463-T01-IM6	0	0	0	amp
P-0029464-T01-IM6	0	0	0	amp
P-0029946-T01-IM6	0	0	0	amp
P-0030010-T01-IM6	0	0	0	amp
P-0030026-T01-IM6	0	0	0	amp
P-0030123-T01-IM6	0	0	0	amp
P-0030139-T01-IM6	0	0	0	amp
P-0030779-T01-IM6	0	0	0	amp
P-0030962-T01-IM6	0	0	0	amp
P-0031210-T01-IM6	0	0	0	amp
P-0031402-T01-IM6	0	0	0	amp
P-0031498-T01-IM6	0	0	0	amp
P-0031749-T01-IM6	0	0	0	amp
P-0031933-T01-IM6	0	0	0	amp
P-0032525-T01-IM6	0	0	0	amp
