Sample	Percent	Start	End
P-0000148-T01-IM3	0	0	0
P-0000199-T01-IM3	0.758897265059539	0.340856576031597	1.09975384109114
P-0000334-T01-IM3	0	0	0
P-0000366-T01-IM3	0.134324851629104	0.965428989462031	1.09975384109114
P-0000403-T01-IM3	0	0	0
P-0000666-T01-IM3	0	0	0
P-0000667-T01-IM3	0	0	0
P-0001080-T01-IM3	0.113077246632224	0.352816760830534	0.465894007462759
P-0001105-T01-IM3	0	0	0
P-0001140-T01-IM3	0	0	0
P-0001285-T01-IM3	0.543625903296924	0.52170689473174	1.09975384109114
P-0001392-T01-IM3	0	0	0
P-0001457-T01-IM3	0	0	0
P-0001547-T01-IM3	0.716276352819514	0.340856576031597	1.09975384109114
P-0001561-T01-IM3	0	0	0
P-0001570-T01-IM3	0	0	0
P-0001575-T01-IM3	0	0	0
P-0001616-T01-IM3	0.758897265059539	0.340856576031597	1.09975384109114
P-0001634-T01-IM3	0	0	0
P-0001677-T01-IM3	0.212109776945998	0.887644064145138	1.09975384109114
P-0001796-T01-IM3	0	0	0
P-0001848-T01-IM3	0.599463981823811	0.493971139488691	1.09975384109114
P-0001907-T01-IM3	0.696757086100482	0.340856576031597	1.09975384109114
P-0001911-T01-IM3	0	0	0
P-0001965-T01-IM3	0	0	0
P-0001992-T01-IM3	0.569561270314334	0.523261147813852	1.09975384109114
P-0002010-T02-IM5	0	0	0
P-0002109-T01-IM3	0	0	0
P-0002110-T02-IM6	0.758897265059539	0.340856576031597	1.09975384109114
P-0002242-T02-IM3	0.133664691523992	0.966089149567144	1.09975384109114
P-0002285-T01-IM3	0.134324851629104	0.965428989462031	1.09975384109114
P-0002288-T01-IM3	0	0	0
P-0002310-T01-IM3	0	0	0
P-0002587-T01-IM3	0	0	0
P-0002643-T01-IM3	0	0	0
P-0002771-T01-IM3	0	0	0
P-0002866-T01-IM3	0.758897265059539	0.340856576031597	1.09975384109114
P-0003050-T01-IM5	0	0	0
P-0003102-T01-IM5	0.580126478963058	0.352816760830534	1.09975384109114
P-0003191-T01-IM5	0	0	0
P-0003194-T01-IM5	0	0	0
P-0003539-T01-IM5	0.134324851629104	0.965428989462031	1.09975384109114
P-0003744-T01-IM5	0.153114563457094	0.340856576031597	0.493971139488691
P-0003748-T01-IM5	0	0	0
P-0003810-T01-IM5	0.758897265059539	0.340856576031597	1.09975384109114
P-0003829-T01-IM5	0	0	0
P-0003873-T01-IM5	0	0	0
P-0004005-T01-IM3	0	0	0
P-0004167-T01-IM5	0	0	0
P-0004340-T01-IM5	0.729891850750172	0.340856576031597	1.09975384109114
P-0004360-T01-IM5	0	0	0
P-0004524-T02-IM5	0.232705965843031	0.846120069746513	1.09975384109114
P-0004794-T01-IM5	0.758897265059539	0.340856576031597	1.09975384109114
P-0004821-T01-IM5	0	0	0
P-0004822-T01-IM5	0.758897265059539	0.340856576031597	1.09975384109114
P-0004829-T01-IM5	0	0	0
P-0004867-T01-IM5	0	0	0
P-0004945-T01-IM5	0	0	0
P-0005224-T01-IM5	0	0	0
P-0005341-T01-IM5	0	0	0
P-0005531-T01-IM5	0	0	0
P-0005745-T01-IM5	0.212109776945998	0.887644064145138	1.09975384109114
P-0006217-T01-IM5	0	0	0
P-0006340-T01-IM5	0	0	0
P-0006492-T01-IM5	0	0	0
P-0006797-T01-IM5	0.729789159906705	0.340856576031597	1.09975384109114
P-0007134-T01-IM5	0	0	0
P-0007535-T01-IM5	0	0	0
P-0007899-T01-IM5	0.758897265059539	0.340856576031597	1.09975384109114
P-0008052-T01-IM5	0.758897265059539	0.340856576031597	1.09975384109114
P-0009394-T02-IM6	0.758897265059539	0.340856576031597	1.09975384109114
P-0009479-T01-IM5	0	0	0
P-0009524-T01-IM5	0.758897265059539	0.340856576031597	1.09975384109114
P-0009598-T01-IM5	0	0	0
P-0009601-T01-IM5	0.719188745778487	0.340856576031597	1.09975384109114
P-0009750-T01-IM5	0	0	0
P-0010011-T01-IM5	0.191960376396729	0.806411550465461	1.09975384109114
P-0010214-T01-IM5	0	0	0
P-0010946-T01-IM5	0	0	0
P-0012173-T01-IM5	0	0	0
P-0012367-T01-IM5	0	0	0
P-0013101-T01-IM5	0.0974938148455164	1.00226002624562	1.09975384109114
P-0013698-T01-IM5	0	0	0
P-0014032-T01-IM5	0	0	0
P-0014146-T01-IM5	0	0	0
P-0014175-T01-IM5	0	0	0
P-0014697-T01-IM6	0.364497211215479	0.735256629875657	1.09975384109114
P-0014861-T01-IM6	0	0	0
