Sample	Percent	Start	End
P-0000067-T02-IM5	0	0	0
P-0000148-T01-IM3	0	0	0
P-0000199-T01-IM3	0	0	0
P-0000334-T01-IM3	0	0	0
P-0000366-T01-IM3	0	0	0
P-0000633-T01-IM3	0	0	0
P-0000634-T01-IM3	0	0	0
P-0000666-T01-IM3	0	0	0
P-0000667-T01-IM3	0	0	0
P-0001036-T01-IM3	0	0	0
P-0001050-T01-IM3	0	0	0
P-0001086-T01-IM3	0	0	0
P-0001285-T01-IM3	0	0	0
P-0001392-T01-IM3	0	0	0
P-0001478-T01-IM3	0	0	0
P-0001547-T01-IM3	0	0	0
P-0001570-T01-IM3	0	0	0
P-0001575-T01-IM3	0	0	0
P-0001677-T01-IM3	0	0	0
P-0001735-T01-IM3	0	0	0
P-0001747-T01-IM3	0	0	0
P-0001796-T01-IM3	0	0	0
P-0001907-T01-IM3	0	0	0
P-0001911-T01-IM3	0	0	0
P-0001985-T01-IM3	0	0	0
P-0001992-T01-IM3	0	0	0
P-0002010-T02-IM5	0	0	0
P-0002116-T01-IM3	0	0	0
P-0002122-T01-IM3	0	0	0
P-0002205-T01-IM3	0	0	0
P-0002227-T01-IM3	0	0	0
P-0002288-T01-IM3	0	0	0
P-0002302-T01-IM3	0	0	0
P-0002363-T01-IM3	0	0	0
P-0002385-T01-IM3	0	0	0
P-0002526-T01-IM3	0	0	0
P-0002536-T01-IM3	0	0	0
P-0002587-T01-IM3	0	0	0
P-0002643-T01-IM3	0	0	0
P-0002692-T01-IM3	0	0	0
P-0002747-T01-IM3	0	0	0
P-0002771-T01-IM3	0	0	0
P-0002802-T01-IM3	0	0	0
P-0002803-T01-IM3	0	0	0
P-0002866-T01-IM3	0	0	0
P-0002982-T01-IM3	0	0	0
P-0003050-T01-IM5	0	0	0
P-0003191-T01-IM5	0	0	0
P-0003194-T01-IM5	0	0	0
P-0003355-T01-IM5	0	0	0
P-0003631-T01-IM5	0	0	0
P-0003744-T01-IM5	0	0	0
P-0003748-T01-IM5	0	0	0
P-0003763-T01-IM5	0	0	0
P-0003810-T01-IM5	0	0	0
P-0003813-T01-IM5	0	0	0
P-0003829-T01-IM5	0	0	0
P-0003873-T01-IM5	0	0	0
P-0003889-T01-IM5	0	0	0
P-0003977-T01-IM3	0	0	0
P-0004005-T01-IM3	0	0	0
P-0004155-T01-IM5	0	0	0
P-0004175-T01-IM5	0	0	0
P-0004258-T01-IM5	0	0	0
P-0004308-T02-IM6	0	0	0
P-0004360-T01-IM5	0	0	0
P-0004524-T02-IM5	0	0	0
P-0004568-T01-IM5	0	0	0
P-0004684-T01-IM5	0	0	0
P-0004782-T01-IM5	0	0	0
P-0004794-T01-IM5	0	0	0
P-0004829-T01-IM5	0	0	0
P-0004867-T01-IM5	0	0	0
P-0004945-T01-IM5	0	0	0
P-0005195-T01-IM5	0	0	0
P-0005340-T01-IM5	0	0	0
P-0005516-T01-IM5	0	0	0
P-0005592-T01-IM5	0	0	0
P-0005744-T01-IM5	0	0	0
P-0005745-T01-IM5	0	0	0
P-0006217-T01-IM5	0	0	0
P-0007064-T01-IM5	0	0	0
P-0007297-T01-IM5	0	0	0
P-0007535-T01-IM5	0	0	0
P-0007855-T01-IM5	0	0	0
P-0008037-T01-IM5	0	0	0
P-0008052-T01-IM5	0	0	0
P-0008474-T01-IM5	0	0	0
P-0009060-T01-IM5	0	0	0
P-0009372-T01-IM5	0	0	0
P-0009394-T02-IM6	0	0	0
P-0009479-T01-IM5	0	0	0
P-0009524-T01-IM5	0	0	0
P-0009558-T01-IM5	0	0	0
P-0009601-T01-IM5	0	0	0
P-0009750-T01-IM5	0	0	0
P-0009840-T01-IM5	0	0	0
P-0010011-T01-IM5	0	0	0
P-0010225-T01-IM5	0	0	0
P-0010250-T02-IM6	0	0	0
P-0010357-T01-IM5	0	0	0
P-0010424-T01-IM5	0	0	0
P-0010633-T01-IM5	0	0	0
P-0010690-T01-IM5	0	0	0
P-0011086-T01-IM5	0	0	0
P-0011426-T01-IM5	0	0	0
P-0011589-T01-IM5	0	0	0
P-0012173-T01-IM5	0	0	0
P-0012732-T01-IM5	0	0	0
P-0012808-T01-IM5	0	0	0
P-0013054-T01-IM5	0	0	0
P-0013279-T01-IM5	0	0	0
P-0013630-T01-IM5	0	0	0
P-0013641-T01-IM5	0	0	0
P-0013695-T01-IM5	0	0	0
P-0013698-T01-IM5	0	0	0
P-0013699-T01-IM5	0	0	0
P-0013801-T03-IM6	0	0	0
P-0013898-T01-IM5	0	0	0
P-0013986-T01-IM5	0	0	0
P-0014032-T01-IM5	0	0	0
P-0014146-T01-IM5	0	0	0
P-0014153-T01-IM5	0	0	0
P-0014175-T01-IM5	0	0	0
P-0014409-T02-IM6	0	0	0
P-0014631-T01-IM6	0	0	0
P-0014697-T01-IM6	0	0	0
P-0014723-T01-IM6	0	0	0
P-0014953-T01-IM6	0	0	0
P-0015095-T01-IM6	0	0	0
P-0015183-T01-IM6	0	0	0
P-0015271-T01-IM6	0	0	0
P-0015457-T01-IM6	0	0	0
P-0015525-T01-IM6	0	0	0
P-0015651-T03-IM6	0	0	0
P-0015810-T01-IM6	0	0	0
P-0015819-T01-IM6	0	0	0
P-0016058-T01-IM6	0	0	0
P-0016553-T01-IM6	0	0	0
P-0017005-T01-IM6	0	0	0
P-0017175-T01-IM6	0	0	0
P-0017327-T01-IM6	0	0	0
P-0017436-T01-IM6	0	0	0
P-0017470-T01-IM6	0	0	0
P-0017516-T01-IM6	0	0	0
P-0017563-T01-IM5	0	0	0
P-0017787-T01-IM6	0	0	0
P-0018024-T01-IM6	0	0	0
P-0018026-T01-IM6	0	0	0
P-0018184-T01-IM6	0	0	0
P-0018211-T01-IM6	0	0	0
P-0018312-T01-IM6	0	0	0
P-0018381-T01-IM6	0	0	0
P-0018527-T01-IM6	0	0	0
P-0018534-T01-IM6	0	0	0
P-0018550-T01-IM6	0	0	0
P-0018606-T01-IM6	0	0	0
P-0018612-T01-IM6	0	0	0
P-0018647-T01-IM6	0	0	0
P-0018944-T01-IM6	0	0	0
P-0018996-T01-IM6	0	0	0
P-0018997-T01-IM6	0	0	0
P-0019234-T01-IM6	0	0	0
P-0019373-T01-IM6	0	0	0
P-0019383-T01-IM6	0	0	0
P-0019423-T01-IM6	0	0	0
P-0019441-T01-IM6	0	0	0
P-0019454-T01-IM6	0	0	0
P-0019652-T02-IM6	0	0	0
P-0019664-T02-IM6	0	0	0
P-0019668-T01-IM6	0	0	0
P-0019748-T01-IM6	0	0	0
P-0019814-T01-IM6	0	0	0
P-0019841-T01-IM6	0	0	0
P-0019908-T01-IM6	0	0	0
P-0019934-T01-IM6	0	0	0
P-0019953-T01-IM6	0	0	0
P-0019991-T01-IM6	0	0	0
P-0020006-T01-IM6	0	0	0
P-0020007-T01-IM6	0	0	0
P-0020012-T01-IM6	0	0	0
P-0020058-T01-IM6	0	0	0
P-0020067-T01-IM6	0	0	0
P-0020105-T01-IM6	0	0	0
P-0020112-T01-IM6	0	0	0
