Sample	Percent	Start	End
P-0000067-T02-IM5	0	0	0
P-0000403-T01-IM3	0	0	0
P-0000633-T01-IM3	0	0	0
P-0000666-T01-IM3	0	0	0
P-0001080-T01-IM3	0	0	0
P-0001086-T01-IM3	0	0	0
P-0001272-T01-IM3	0	0	0
P-0001284-T01-IM3	0	0	0
P-0001421-T01-IM3	0	0	0
P-0001634-T01-IM3	0	0	0
P-0001796-T01-IM3	0	0	0
P-0001965-T01-IM3	0	0	0
P-0001985-T01-IM3	0	0	0
P-0001992-T01-IM3	0	0	0
P-0002109-T01-IM3	0	0	0
P-0002310-T01-IM3	0	0	0
P-0002587-T01-IM3	0	0	0
P-0002692-T01-IM3	0	0	0
P-0002771-T01-IM3	0	0	0
P-0002866-T01-IM3	0	0	0
P-0003050-T01-IM5	0	0	0
P-0003539-T01-IM5	0	0	0
P-0003744-T01-IM5	0	0	0
P-0003810-T01-IM5	0	0	0
P-0003977-T01-IM3	0	0	0
P-0004175-T01-IM5	0	0	0
P-0004524-T02-IM5	0	0	0
P-0004684-T01-IM5	0	0	0
P-0004821-T01-IM5	0	0	0
P-0004829-T01-IM5	0	0	0
P-0004867-T01-IM5	0	0	0
P-0005224-T01-IM5	0	0	0
P-0005745-T01-IM5	0	0	0
P-0006656-T01-IM5	0	0	0
P-0006892-T01-IM5	0	0	0
P-0007134-T01-IM5	0	0	0
P-0009601-T01-IM5	0	0	0
P-0009750-T01-IM5	0	0	0
P-0010011-T01-IM5	0	0	0
P-0010225-T01-IM5	0	0	0
P-0010357-T01-IM5	0	0	0
P-0010510-T01-IM5	0	0	0
P-0010573-T01-IM5	0	0	0
P-0010946-T01-IM5	0	0	0
P-0011426-T01-IM5	0	0	0
P-0011589-T01-IM5	0	0	0
P-0012367-T01-IM5	0	0	0
P-0013054-T01-IM5	0	0	0
P-0013101-T01-IM5	0	0	0
P-0013630-T01-IM5	0	0	0
P-0013699-T01-IM5	0	0	0
P-0013840-T01-IM5	0	0	0
P-0014391-T01-IM6	0	0	0
P-0015457-T01-IM6	0	0	0
P-0015810-T01-IM6	0	0	0
P-0016322-T01-IM6	0	0	0
P-0016865-T01-IM6	0	0	0
P-0017005-T01-IM6	0	0	0
P-0017175-T01-IM6	0	0	0
P-0018184-T01-IM6	0	0	0
P-0018202-T01-IM6	0	0	0
P-0018212-T01-IM6	0	0	0
P-0018534-T01-IM6	0	0	0
P-0018550-T01-IM6	0	0	0
P-0018757-T01-IM6	0	0	0
P-0018944-T01-IM6	0	0	0
P-0018996-T01-IM6	0	0	0
P-0019325-T01-IM6	0	0	0
P-0019337-T01-IM6	0	0	0
P-0019383-T01-IM6	0	0	0
P-0019391-T01-IM6	0	0	0
P-0019652-T02-IM6	0	0	0
P-0019668-T01-IM6	0	0	0
P-0019841-T01-IM6	0	0	0
P-0019953-T01-IM6	0	0	0
P-0020058-T01-IM6	0	0	0
P-0020105-T01-IM6	0	0	0
P-0020115-T01-IM6	0	0	0
P-0020298-T01-IM6	0	0	0
P-0020385-T01-IM6	0	0	0
P-0020515-T01-IM6	0	0	0
P-0020549-T01-IM6	0	0	0
P-0020552-T01-IM6	0	0	0
P-0020767-T01-IM6	0	0	0
P-0020924-T01-IM6	0	0	0
P-0020968-T01-IM6	0	0	0
P-0021045-T02-IM6	0	0	0
P-0021076-T01-IM6	0	0	0
P-0021080-T01-IM6	0	0	0
P-0021303-T01-IM6	0	0	0
P-0021402-T01-IM6	0	0	0
P-0021409-T01-IM6	0	0	0
P-0021524-T01-IM6	0	0	0
P-0021534-T01-IM6	0	0	0
P-0021762-T02-IM6	0	0	0
P-0021785-T01-IM6	0	0	0
P-0021882-T01-IM6	0	0	0
P-0021891-T01-IM6	0	0	0
P-0021924-T01-IM6	0	0	0
P-0022003-T01-IM6	0	0	0
P-0022046-T01-IM6	0	0	0
P-0022059-T01-IM6	0	0	0
P-0022079-T01-IM6	0	0	0
P-0022126-T01-IM6	0	0	0
P-0022522-T01-IM6	0	0	0
P-0022867-T01-IM6	0	0	0
P-0023372-T01-IM6	0	0	0
P-0023507-T01-IM6	0	0	0
P-0023560-T01-IM6	0	0	0
P-0023620-T01-IM6	0	0	0
P-0023632-T01-IM6	0	0	0
P-0023661-T01-IM6	0	0	0
P-0023834-T01-IM6	0	0	0
P-0023920-T01-IM6	0	0	0
P-0024048-T01-IM6	0	0	0
P-0024181-T01-IM6	0	0	0
