"","arm_ref","telcent_ref","direction_ref","id","smallest_start_ref","largest_end_ref","arm_cut","telcent_cut","direction_cut","smallest_start_cut","largest_end_cut","label","overlap_start","overlap_end","overlap_length","overlap_pct_ref","overlap_pct_cut","combined_overlap"
"1","11q","tel","del","11q_tel_del",68228185,78285909,"11q","tel","del",98891705,101030001,"user",98891705,78285909,0,0,0,0
"2","14q","tel","del","14q_tel_del",69254371,80334633,"14q","tel","del",96152753,99977852,"user",96152753,80334633,0,0,0,0
"3","16q","tel","del","16q_tel_del",66914263,76902916,"16q","tel","del",57023396,62070739,"user",66914263,62070739,0,0,0,0
"4","17q","tel","del","17q_tel_del",25399414,50613061,"17q","tel","del",65066553,71824676,"user",65066553,50613061,0,0,0,0
"5","18q","tel","del","18q_tel_del",49866541,57364644,"18q","tel","del",59000814,63549202,"user",59000814,57364644,0,0,0,0
"6","19p","tel","del","19p_tel_del",14138959,14721956,"19p","tel","del",2819871,15807984,"user",14138959,14721956,582997,1,0.0448869670290057,0.522443483514503
"7","1p","tel","del","1p_tel_del",25071759,42384378,"1p","tel","del",22005071,113748875,"user",25071759,42384378,17312619,1,0.188706138672863,0.594353069336432
"8","1q","tel","del","1q_tel_del",179560747,193335083,"1q","tel","del",210851656,246670644,"user",210851656,193335083,0,0,0,0
"9","20q","tel","amp","20q_tel_amp",37434335,52111869,"20q","tel","amp",50003493,56287836,"user",50003493,52111869,2108376,0.143646473583369,0.33549664618879,0.23957155988608
"10","2p","tel","del","2p_tel_del",28718937,48132932,"2p","tel","del",11319884,47614167,"user",28718937,47614167,18895230,0.973278812526737,0.520611744830446,0.746945278678591
"11","3q","tel","amp","3q_tel_amp",124684553,177617012,"3q","tel","amp",142443265,159615155,"user",142443265,159615155,17171890,0.324411340874982,1,0.662205670437491
"12","3q","tel","del","3q_tel_del",120627049,172241297,"3q","tel","del",158787040,179754841,"user",158787040,172241297,13454257,0.260669437632802,0.641662757100756,0.45116609736678
"13","4q","tel","del","4q_tel_del",68283022,97739566,"4q","tel","del",68424414,123610311,"user",68424414,97739566,29315152,0.995199980011233,0.531207311897096,0.763203645954164
"14","6p","tel","amp","6p_tel_amp",20534687,24383520,"6p","tel","amp",5261250,44418161,"user",20534687,24383520,3848833,1,0.0982925593900908,0.549146279695045
"15","7q","tel","del","7q_tel_del",106842188,148118088,"7q","tel","del",145813452,148880118,"user",145813452,148118088,2304636,0.0558349060832108,0.751511902502587,0.403673404292899
"16","8p","tel","del","8p_tel_del",20133283,26723172,"8p","tel","del",8559665,25273232,"user",20133283,25273232,5139949,0.779975049655616,0.30753154009554,0.543753294875578
