Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
6	70385640	70507049	q13	LMBRD1	NM_018368	0.924991681419902	0.923874448652223	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	70576447	70922157	q13	COL19A1	NM_001858	0.923235832737328	0.920054532009093	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	70925742	71012786	q13	COL9A1	NM_001851	0.920021542037409	0.919220543684488	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71103904	71109120	q13	EVADR	NR_125857	0.918382055472532	0.918334056674121	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71122530	71123661	q13	LOC105377849	NR_147708	0.918210654855355	0.918200247140439	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71123106	71270877	q13	FAM135A	NM_001331003	0.918205354374549	0.916845532587756	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71276624	71298606	q13	SDHAF4	NM_145267	0.916792647408603	0.916590364128952	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71377473	71571716	q13	SMAP1	NM_001281439	0.915864612358585	0.914077144835647	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71571068	71666788	q13	B3GAT2	NM_080742	0.914083107876554	0.913202271031491	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	71998144	72018762	q13	OGFRL1	NM_024576	0.910153059021121	0.90996332757449	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	72086662	72086734	q13	MIR30C2	NR_029598	0.909338496590581	0.90933783403048	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	72113253	72113324	q13	MIR30A	NR_029504	0.909093800262258	0.909093146904381	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	72117566	72130448	q13	LINC00472	NR_026807	0.909054111071778	0.908935568027084	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	72130729	72168575	q13	LINC01626	NR_121615	0.908932982202246	0.908584714847062	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	72596405	73112845	q13	RIMS1	NM_014989	0.904647727515018	0.89989533114786	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	73331570	73908573	q13	KCNQ5	NM_019842	0.897882574786218	0.892572864149864	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	73340222	73388282	q13	KCNQ5-IT1	NR_120503	0.897802957147444	0.897360698280188	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	73677409	73677476	q13	MIR4282	NR_036244	0.894700086971136	0.894699470422153	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	73844525	73853237	q13	KCNQ5-AS1	NR_046621	0.893162248168383	0.893082078396191	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	73933267	73935175	q13	KHDC1L	NM_001126063	0.892345624439751	0.892328066597081	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	73951037	74019938	q13	KHDC1	NM_001251874	0.892182100925995	0.891548058516241	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	74062784	74063999	q13	DPPA5	NM_001025290	0.891153780042948	0.891142599341248	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
6	74072399	74073898	q13	KHDC3L	NM_001017361	0.891065300662826	0.891051506529617	0.236795554163999	1.72273167133863e-10	9.76378236197855	208	70132219	86202468	0.779441693178963	0.92732371813232	brca	6q	del	tel	p	1	0.95	118	138	2.57171223230091e-08	7.589777629416462	1.7972255997391937	p
