Sample	Percent	Start	End
P-0000067-T02-IM5	0	0	0
P-0000148-T01-IM3	0	0	0
P-0000199-T01-IM3	0	0	0
P-0000236-T01-IM3	0	0	0
P-0000269-T01-IM3	0	0	0
P-0000334-T01-IM3	0	0	0
P-0000366-T01-IM3	0	0	0
P-0000403-T01-IM3	0	0	0
P-0000633-T01-IM3	0	0	0
P-0000634-T01-IM3	0	0	0
P-0001036-T01-IM3	0	0	0
P-0001050-T01-IM3	0	0	0
P-0001086-T01-IM3	0	0	0
P-0001105-T01-IM3	0	0	0
P-0001140-T01-IM3	0	0	0
P-0001272-T01-IM3	0	0	0
P-0001284-T01-IM3	0	0	0
P-0001285-T01-IM3	0	0	0
P-0001392-T01-IM3	0	0	0
P-0001457-T01-IM3	0	0	0
P-0001478-T01-IM3	0	0	0
P-0001547-T01-IM3	0	0	0
P-0001561-T01-IM3	0	0	0
P-0001570-T01-IM3	0	0	0
P-0001575-T01-IM3	0	0	0
P-0001634-T01-IM3	0	0	0
P-0001677-T01-IM3	0	0	0
P-0001735-T01-IM3	0	0	0
P-0001752-T01-IM3	0	0	0
P-0001907-T01-IM3	0	0	0
P-0001985-T01-IM3	0	0	0
P-0001992-T01-IM3	0	0	0
P-0002010-T02-IM5	0	0	0
P-0002109-T01-IM3	0	0	0
P-0002110-T02-IM6	0	0	0
P-0002116-T01-IM3	0	0	0
P-0002122-T01-IM3	0	0	0
P-0002205-T01-IM3	0	0	0
P-0002227-T01-IM3	0	0	0
P-0002285-T01-IM3	0	0	0
P-0002288-T01-IM3	0	0	0
P-0002310-T01-IM3	0	0	0
P-0002385-T01-IM3	0	0	0
P-0002497-T01-IM3	0	0	0
P-0002526-T01-IM3	0	0	0
P-0002536-T01-IM3	0	0	0
P-0002587-T01-IM3	0	0	0
P-0002643-T01-IM3	0	0	0
P-0002692-T01-IM3	0	0	0
P-0002747-T01-IM3	0	0	0
P-0002771-T01-IM3	0	0	0
P-0002803-T01-IM3	0	0	0
P-0002866-T01-IM3	0	0	0
P-0002887-T01-IM3	0	0	0
P-0002982-T01-IM3	0	0	0
P-0003102-T01-IM5	0	0	0
P-0003191-T01-IM5	0	0	0
P-0003355-T01-IM5	0	0	0
P-0003539-T01-IM5	0	0	0
P-0003631-T01-IM5	0	0	0
P-0003744-T01-IM5	0	0	0
P-0003748-T01-IM5	0	0	0
P-0003763-T01-IM5	0	0	0
P-0003813-T01-IM5	0	0	0
P-0003818-T01-IM5	0	0	0
P-0003880-T01-IM5	0	0	0
P-0003889-T01-IM5	0	0	0
P-0003977-T01-IM3	0	0	0
P-0004005-T01-IM3	0	0	0
P-0004155-T01-IM5	0	0	0
P-0004175-T01-IM5	0	0	0
P-0004258-T01-IM5	0	0	0
P-0004308-T02-IM6	0	0	0
P-0004340-T01-IM5	0	0	0
P-0004360-T01-IM5	0	0	0
P-0004524-T02-IM5	0	0	0
P-0004568-T01-IM5	0	0	0
P-0004631-T01-IM5	0	0	0
P-0004684-T01-IM5	0	0	0
P-0004782-T01-IM5	0	0	0
P-0004794-T01-IM5	0	0	0
P-0004822-T01-IM5	0	0	0
P-0004829-T01-IM5	0	0	0
P-0004945-T01-IM5	0	0	0
P-0005092-T01-IM5	0	0	0
P-0005195-T01-IM5	0	0	0
P-0005224-T01-IM5	0	0	0
P-0005340-T01-IM5	0	0	0
P-0005341-T01-IM5	0	0	0
P-0005516-T01-IM5	0	0	0
P-0005592-T01-IM5	0	0	0
P-0005744-T01-IM5	0	0	0
P-0005775-T02-IM5	0	0	0
P-0005896-T01-IM5	0	0	0
P-0005946-T01-IM5	0	0	0
P-0006340-T01-IM5	0	0	0
P-0006492-T01-IM5	0	0	0
P-0006797-T01-IM5	0	0	0
P-0006892-T01-IM5	0	0	0
P-0006984-T01-IM5	0	0	0
P-0007003-T01-IM5	0	0	0
P-0007064-T01-IM5	0	0	0
P-0007134-T01-IM5	0	0	0
P-0007297-T01-IM5	0	0	0
P-0007535-T01-IM5	0	0	0
P-0007855-T01-IM5	0	0	0
P-0007899-T01-IM5	0	0	0
P-0008037-T01-IM5	0	0	0
P-0008052-T01-IM5	0	0	0
P-0008474-T01-IM5	0	0	0
P-0009372-T01-IM5	0	0	0
P-0009479-T01-IM5	0	0	0
P-0009524-T01-IM5	0	0	0
P-0009558-T01-IM5	0	0	0
P-0009598-T01-IM5	0	0	0
P-0009601-T01-IM5	0	0	0
P-0009750-T01-IM5	0	0	0
P-0009840-T01-IM5	0	0	0
P-0009979-T02-IM6	0	0	0
P-0010011-T01-IM5	0	0	0
P-0010214-T01-IM5	0	0	0
P-0010225-T01-IM5	0	0	0
P-0010250-T02-IM6	0	0	0
P-0010357-T01-IM5	0	0	0
P-0010424-T01-IM5	0	0	0
P-0010510-T01-IM5	0	0	0
P-0010536-T01-IM5	0	0	0
P-0010573-T01-IM5	0	0	0
P-0010594-T01-IM5	0	0	0
P-0010598-T01-IM5	0	0	0
P-0010633-T01-IM5	0	0	0
P-0010690-T01-IM5	0	0	0
P-0010705-T01-IM5	0	0	0
P-0010946-T01-IM5	0	0	0
P-0011086-T01-IM5	0	0	0
P-0011589-T01-IM5	0	0	0
P-0012367-T01-IM5	0	0	0
P-0012502-T01-IM5	0	0	0
P-0012732-T01-IM5	0	0	0
P-0012808-T01-IM5	0	0	0
P-0013054-T01-IM5	0	0	0
P-0013279-T01-IM5	0	0	0
P-0013630-T01-IM5	0	0	0
P-0013695-T01-IM5	0	0	0
P-0013698-T01-IM5	0	0	0
P-0013699-T01-IM5	0	0	0
P-0013801-T03-IM6	0	0	0
P-0013898-T01-IM5	0	0	0
P-0013986-T01-IM5	0	0	0
P-0014032-T01-IM5	0	0	0
P-0014146-T01-IM5	0	0	0
P-0014153-T01-IM5	0	0	0
P-0014175-T01-IM5	0	0	0
P-0014391-T01-IM6	0	0	0
P-0014401-T01-IM6	0	0	0
P-0014409-T02-IM6	0	0	0
P-0014631-T01-IM6	0	0	0
P-0014697-T01-IM6	0	0	0
P-0014857-T01-IM6	0	0	0
P-0014861-T01-IM6	0	0	0
P-0015183-T01-IM6	0	0	0
P-0015271-T01-IM6	0	0	0
P-0015457-T01-IM6	0	0	0
P-0015507-T01-IM6	0	0	0
P-0015525-T01-IM6	0	0	0
P-0015651-T03-IM6	0	0	0
P-0015726-T01-IM6	0	0	0
P-0015819-T01-IM6	0	0	0
P-0015976-T01-IM6	0	0	0
P-0016058-T01-IM6	0	0	0
P-0016129-T01-IM6	0	0	0
P-0016553-T01-IM6	0	0	0
P-0016865-T01-IM6	0	0	0
P-0017005-T01-IM6	0	0	0
P-0017175-T01-IM6	0	0	0
P-0017327-T01-IM6	0	0	0
P-0017436-T01-IM6	0	0	0
P-0017470-T01-IM6	0	0	0
P-0017559-T01-IM5	0	0	0
P-0017787-T01-IM6	0	0	0
P-0018024-T01-IM6	0	0	0
P-0018026-T01-IM6	0	0	0
P-0018184-T01-IM6	0	0	0
P-0018202-T01-IM6	0	0	0
P-0018211-T01-IM6	0	0	0
