Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
5	126087654	126112178	q23.2	LMNB1-DT	NR_134485	0.416727908235607	0.4165396033684	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	126112314	126172712	q23.2	LMNB1	NR_134488	0.416538559107189	0.416074799631996	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	126203405	126366500	q23.2	MARCH3	NM_178450	0.415839126769119	0.414586819546917	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	126378249	126409184	q23.2	C5orf63	NM_001164479	0.414496606128029	0.414259075094467	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	126626455	126796910	q23.2	MEGF10	NM_001256545	0.41259078334748	0.411281963165621	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	126853300	126890780	q23.2	PRRC1	NM_001286808	0.41084897868259	0.410561192578245	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	126984712	126994322	q23.2	CTXN3	NM_001048252	0.409839945930612	0.409766156590624	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	127039080	127277208	q23.2	CCDC192	NM_001317938	0.409422487154704	0.407594047201252	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	127276131	127418867	q23.3	LINC01184	NR_152813	0.407602316828636	0.406506333974054	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	127419482	127525380	q23.3	SLC12A2	NM_001256461	0.406501611763431	0.405688485486005	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	127593600	127873735	q23.3	FBN2	NM_001999	0.405164665634394	0.403013679499373	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	128300819	128369335	q23.3	SLC27A6	NM_001317984	0.3997343614474	0.399208268791976	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	128430441	128449719	q23.3	ISOC1	NM_016048	0.398739073015773	0.398591048989104	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	128433380	128433459	q23.3	MIR4633	NR_039776	0.398716506223866	0.398715899630957	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	128732754	128732840	q23.3	MIR4460	NR_039665	0.396417795519434	0.396417135177786	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	128795251	128796382	q23.3	ADAMTS19-AS1	NR_125748	0.395937919100992	0.395929234840479	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
5	128795957	129074376	q23.3	ADAMTS19	NM_133638	0.395932498156764	0.393794688141141	0.326824124529524	1.07110313159024e-15	14.9701687109383	166	126086511	134440389	0.352592340832362	0.416736684636815	kirc	5q	amp	tel	p	1	0.95	145	31	2.03197658412247e-13	12.692081301036245	4.1480783596687125	p
