Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
1	205305192	205326218	q32.1	KLHDC8A	NM_001271864	0.434051950125432	0.433837254869246	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205342379	205356568	q32.1	LEMD1-AS1	NR_038425	0.433672235843505	0.433527352794421	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205350505	205391214	q32.1	LEMD1	NR_037583	0.433589261732796	0.43317358451487	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205404013	205425214	q32.1	BLACAT1	NR_103783	0.433042894674486	0.432826412503535	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205417429	205417526	q32.1	MIR135B	NR_029893	0.432905904683189	0.432904914221863	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205425185	205438152	q32.1	LOC284577	NR_148934	0.432826708620839	0.43269430334228	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205473683	205501921	q32.1	CDK18	NM_212503	0.432331498379493	0.432043161813137	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205523399	205538433	q32.1	LOC284578	NR_152721	0.431823851211388	0.431670339916729	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205538111	205572046	q32.1	MFSD4A	NM_181644	0.431673627839895	0.431327119539758	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205577070	205602000	q32.1	ELK4	NM_001973	0.431275819769612	0.431021260997771	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205626980	205649630	q32.1	SLC45A3	NM_033102	0.430766191678855	0.430534913853656	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205681946	205719372	q32.1	NUCKS1	NM_022731	0.430204937067823	0.429822782370875	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205737113	205744610	q32.1	RAB29	NM_003929	0.429641630057548	0.429565078629049	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205758220	205782324	q32.1	SLC41A1	NM_173854	0.4294261077151	0.429179983180946	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205797149	205819276	q32.1	PM20D1	NR_135186	0.429028605973062	0.428802668470273	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205831206	205865215	q32.1	LOC284581	NR_046097	0.42868085193806	0.428333588028251	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	205882176	205912588	q32.1	SLC26A9	NM_134325	0.428160400249302	0.427849865096104	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206137264	206155151	q32.1	FAM72A	NM_001317901	0.425555711601433	0.425373068490646	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206224280	206234394	q32.1	AVPR1B	NM_000707	0.42466719631501	0.424563922852579	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206238871	206288647	q32.1	RHEX	NM_001007544	0.42451820846744	0.424009948642844	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206317458	206332104	q32.1	CTSE	NM_001317331	0.423715761207003	0.42356621175765	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206516199	206637783	q32.1	SRGAP2	NM_015326	0.421686428480391	0.420444941367855	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206557366	206581301	q32.1	SRGAP2D	NR_120535	0.421266074651254	0.421021675766215	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206643585	206670223	q32.1	IKBKE	NM_001193321	0.420385697485215	0.420113698425275	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206648145	206648207	q32.1	MIR6769B	NR_106919	0.42033913559193	0.420338502513556	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206680862	206762616	q32.1	RASSF5	NM_182664	0.420005064218551	0.419170278906353	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206764973	206785904	q32.1	EIF2D	NM_001201478	0.419146211717215	0.418932486500472	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206808880	206822542	q32.1	DYRK3	NM_003582	0.418697879908341	0.418558378025433	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206858364	206907630	q32.1	MAPKAPK2	NM_004759	0.418192601678667	0.417689549434241	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206940947	206945839	q32.1	IL10	NM_000572	0.417349351495957	0.417299399570091	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	206972214	207016326	q32.1	IL19	NM_153758	0.417030085987768	0.416579660935885	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207039153	207042568	q32.1	IL20	NM_018724	0.416346575774039	0.416311705408783	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207070787	207077484	q32.1	IL24	NM_001185157	0.416023562850316	0.415955180175024	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207076630	207095378	q32.1	FCMR	NM_005449	0.415963900319073	0.415772465587647	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207101866	207119811	q32.1	PIGR	NM_002644	0.41570621699913	0.415522981653736	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207131311	207143970	q32.1	FCAMR	NM_032029	0.415405555826372	0.415276295517799	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207191865	207206101	q32.1	C1orf116	NM_001083924	0.414787242474184	0.414641879510849	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
1	207217193	207226325	q32.2	YOD1	NM_001276320	0.414528619747622	0.414435373429754	0.552983960310144	0.0007072043343711	3.15045508624764	13	205307788	247047608	0.0078225818688273	0.434025442521273	gbm	1q	del	tel	n	1	0.95	8	9	0.0481201131627399	1.3176733600126644	0.7286522330149773	n
